,"(deg C) Mean Temperature (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1950-01-01",9.125
"1950-02-01",12.14
"1950-03-01",14.24
"1950-04-01",18.47
"1950-05-01",19.76
"1950-06-01",24.925
"1950-07-01",25.1
"1950-08-01",24.94
"1950-09-01",23.045
"1950-10-01",21.22
"1950-11-01",15.25
"1950-12-01",10.89
"1951-01-01",6.625
"1951-02-01",9.08
"1951-03-01",10.98
"1951-04-01",14.82
"1951-05-01",19.23
"1951-06-01",24.075
"1951-07-01",27.715
"1951-08-01",25.955
"1951-09-01",24.315
"1951-10-01",19.45
"1951-11-01",12.1
"1951-12-01",8.38
"1952-01-01",9.42
"1952-02-01",7.54
"1952-03-01",8.195
"1952-04-01",14.995
"1952-05-01",20.47
"1952-06-01",24.9
"1952-07-01",26.63
"1952-08-01",26.265
"1952-09-01",24.29
"1952-10-01",19.585
"1952-11-01",10.18
"1952-12-01",6.685
"1953-01-01",8.72
"1953-02-01",7.87
"1953-03-01",13.43
"1953-04-01",15.615
"1953-05-01",17.615
"1953-06-01",26.27
"1953-07-01",27.065
"1953-08-01",26.19
"1953-09-01",24.735
"1953-10-01",17.765
"1953-11-01",13.29
"1953-12-01",6.7
"1954-01-01",9.565
"1954-02-01",12.25
"1954-03-01",12.215
"1954-04-01",18.7
"1954-05-01",20.64
"1954-06-01",25.01
"1954-07-01",26.71
"1954-08-01",24.145
"1954-09-01",24.81
"1954-10-01",20.155
"1954-11-01",13.825
"1954-12-01",9.05
"1955-01-01",5.18
"1955-02-01",7.085
"1955-03-01",12.58
"1955-04-01",14.965
"1955-05-01",19.275
"1955-06-01",24.64
"1955-07-01",25.935
"1955-08-01",24.745
"1955-09-01",23.675
"1955-10-01",19.775
"1955-11-01",12.4
"1955-12-01",10.765
"1956-01-01",10.58
"1956-02-01",7.365
"1956-03-01",13.41
"1956-04-01",15.395
"1956-05-01",21.54
"1956-06-01",26.8
"1956-07-01",26.165
"1956-08-01",24.99
"1956-09-01",25.285
"1956-10-01",18.82
"1956-11-01",10.625
"1956-12-01",8.09
"1957-01-01",9.51
"1957-02-01",13.675
"1957-03-01",12.555
"1957-04-01",15.555
"1957-05-01",18.395
"1957-06-01",26.14
"1957-07-01",27.455
"1957-08-01",25.465
"1957-09-01",23.43
"1957-10-01",17.055
"1957-11-01",9.635
"1957-12-01",9.84
"1958-01-01",7.24
"1958-02-01",10.63
"1958-03-01",9.58
"1958-04-01",15.44
"1958-05-01",22.91
"1958-06-01",26.655
"1958-07-01",27.035
"1958-08-01",25.605
"1958-09-01",23.25
"1958-10-01",17.785
"1958-11-01",11.745
"1958-12-01",10.76
"1959-01-01",9.94
"1959-02-01",9.185
"1959-03-01",12.465
"1959-04-01",17.83
"1959-05-01",20.02
"1959-06-01",26.745
"1959-07-01",26.87
"1959-08-01",24.56
"1959-09-01",23.6
"1959-10-01",18.195
"1959-11-01",11.29
"1959-12-01",8.245
"1960-01-01",5.63
"1960-02-01",7.015
"1960-03-01",14.27
"1960-04-01",16.745
"1960-05-01",20.135
"1960-06-01",26.355
"1960-07-01",26.85
"1960-08-01",26.28
"1960-09-01",24.41
"1960-10-01",17.17
"1960-11-01",13.215
"1960-12-01",7.39
"1961-01-01",8.335
"1961-02-01",9.86
"1961-03-01",12.43
"1961-04-01",17.09
"1961-05-01",20.805
"1961-06-01",26.375
"1961-07-01",27.16
"1961-08-01",25.26
"1961-09-01",22.59
"1961-10-01",17.675
"1961-11-01",10.28
"1961-12-01",8.325
"1962-01-01",6.94
"1962-02-01",11.17
"1962-03-01",9.77
"1962-04-01",18.435
"1962-05-01",19.665
"1962-06-01",24.025
"1962-07-01",26.01
"1962-08-01",27.445
"1962-09-01",24.2
"1962-10-01",19.09
"1962-11-01",14.28
"1962-12-01",9.535
"1963-01-01",7.53
"1963-02-01",11.565
"1963-03-01",12.08
"1963-04-01",15.51
"1963-05-01",22.035
"1963-06-01",24.085
"1963-07-01",27.495
"1963-08-01",24.77
"1963-09-01",24.035
"1963-10-01",19.71
"1963-11-01",12.075
"1963-12-01",7.86
"1964-01-01",6.19
"1964-02-01",6.44
"1964-03-01",9.935
"1964-04-01",14.63
"1964-05-01",19.95
"1964-06-01",24.48
"1964-07-01",26.91
"1964-08-01",24.97
"1964-09-01",22.4
"1964-10-01",19.23
"1964-11-01",10.65
"1964-12-01",8.885
"1965-01-01",9.54
"1965-02-01",8.43
"1965-03-01",10.81
"1965-04-01",15.965
"1965-05-01",19.17
"1965-06-01",22.63
"1965-07-01",26.46
"1965-08-01",26.01
"1965-09-01",22.7
"1965-10-01",18.98
"1965-11-01",14.65
"1965-12-01",8.79
"1966-01-01",6.43
"1966-02-01",6.555
"1966-03-01",13.005
"1966-04-01",16.675
"1966-05-01",21.155
"1966-06-01",25.14
"1966-07-01",26.995
"1966-08-01",25.095
"1966-09-01",22.41
"1966-10-01",17.61
"1966-11-01",13.78
"1966-12-01",8.505
"1967-01-01",8.455
"1967-02-01",10.72
"1967-03-01",15.2
"1967-04-01",14.975
"1967-05-01",19.045
"1967-06-01",23.61
"1967-07-01",26.105
"1967-08-01",25.17
"1967-09-01",22.465
"1967-10-01",18.285
"1967-11-01",13.495
"1967-12-01",6.565
"1968-01-01",8.09
"1968-02-01",11.88
"1968-03-01",11.685
"1968-04-01",14.07
"1968-05-01",19.525
"1968-06-01",25.495
"1968-07-01",25.435
"1968-08-01",23.515
"1968-09-01",22.445
"1968-10-01",18.375
"1968-11-01",11.48
"1968-12-01",6.915
"1969-01-01",9.87
"1969-02-01",8.5
"1969-03-01",9.75
"1969-04-01",16.81
"1969-05-01",20.61
"1969-06-01",24.605
"1969-07-01",26.945
"1969-08-01",27.305
"1969-09-01",24.11
"1969-10-01",17.35
"1969-11-01",11.23
"1969-12-01",9.305
"1970-01-01",7.245
"1970-02-01",10.61
"1970-03-01",10.67
"1970-04-01",13.79
"1970-05-01",20.61
"1970-06-01",25.62
"1970-07-01",27.69
"1970-08-01",26.13
"1970-09-01",22.795
"1970-10-01",16.2
"1970-11-01",13.245
"1970-12-01",9.88
"1971-01-01",8.865
"1971-02-01",9.59
"1971-03-01",13.765
"1971-04-01",15.545
"1971-05-01",19.14
"1971-06-01",25.04
"1971-07-01",28.325
"1971-08-01",25.135
"1971-09-01",23.905
"1971-10-01",16.02
"1971-11-01",12.32
"1971-12-01",7.11
"1972-01-01",8.67
"1972-02-01",11.19
"1972-03-01",16.64
"1972-04-01",16.895
"1972-05-01",19.95
"1972-06-01",24.51
"1972-07-01",27.735
"1972-08-01",25.845
"1972-09-01",23.355
"1972-10-01",17.75
"1972-11-01",9.565
"1972-12-01",7.885
"1973-01-01",6.42
"1973-02-01",9.3
"1973-03-01",9.645
"1973-04-01",13.665
"1973-05-01",20.225
"1973-06-01",25.175
"1973-07-01",26.775
"1973-08-01",26.63
"1973-09-01",24.32
"1973-10-01",19
"1973-11-01",12.915
"1973-12-01",9.165
"1974-01-01",8.605
"1974-02-01",8.85
"1974-03-01",14.165
"1974-04-01",16.68
"1974-05-01",21.315
"1974-06-01",27.67
"1974-07-01",26.125
"1974-08-01",25.25
"1974-09-01",22.5
"1974-10-01",17.415
"1974-11-01",11.765
"1974-12-01",6.175
"1975-01-01",8.185
"1975-02-01",8.645
"1975-03-01",11.455
"1975-04-01",13.105
"1975-05-01",18.715
"1975-06-01",24.65
"1975-07-01",26.065
"1975-08-01",27.025
"1975-09-01",22.925
"1975-10-01",18.085
"1975-11-01",12.305
"1975-12-01",8.45
"1976-01-01",7.795
"1976-02-01",11.22
"1976-03-01",11.975
"1976-04-01",15.185
"1976-05-01",19.735
"1976-06-01",24.85
"1976-07-01",25.505
"1976-08-01",25.465
"1976-09-01",21.955
"1976-10-01",15.6
"1976-11-01",10.915
"1976-12-01",7.125
"1977-01-01",7.235
"1977-02-01",10.42
"1977-03-01",10.53
"1977-04-01",16.345
"1977-05-01",19.185
"1977-06-01",25.865
"1977-07-01",26.755
"1977-08-01",26.37
"1977-09-01",24.015
"1977-10-01",18.68
"1977-11-01",13.275
"1977-12-01",10.755
"1978-01-01",8.76
"1978-02-01",8.855
"1978-03-01",13.805
"1978-04-01",16.135
"1978-05-01",20.06
"1978-06-01",26.765
"1978-07-01",28.15
"1978-08-01",25.925
"1978-09-01",23.28
"1978-10-01",19.27
"1978-11-01",12.19
"1978-12-01",6.36
"1979-01-01",5.95
"1979-02-01",9.575
"1979-03-01",11.445
"1979-04-01",15.89
"1979-05-01",18.95
"1979-06-01",24.56
"1979-07-01",27.66
"1979-08-01",25.16
"1979-09-01",24.46
"1979-10-01",19.87
"1979-11-01",10.2
"1979-12-01",8.895
"1980-01-01",9.165
"1980-02-01",11.375
"1980-03-01",11.56
"1980-04-01",15.985
"1980-05-01",19.005
"1980-06-01",26.98
"1980-07-01",28.38
"1980-08-01",26.055
"1980-09-01",24.245
"1980-10-01",17.125
"1980-11-01",11.91
"1980-12-01",10.71
"1981-01-01",8.778
"1981-02-01",10.259
"1981-03-01",10.894
"1981-04-01",17.269
"1981-05-01",19.519
"1981-06-01",26.58
"1981-07-01",26.5
"1981-08-01",25.989
"1981-09-01",23.596
"1981-10-01",16.999
"1981-11-01",12.977
"1981-12-01",9.475
"1982-01-01",7.965
"1982-02-01",10.022
"1982-03-01",12.747
"1982-04-01",16.839
"1982-05-01",19.542
"1982-06-01",25.147
"1982-07-01",26.755
"1982-08-01",25.668
"1982-09-01",23.992
"1982-10-01",16.759
"1982-11-01",11.894
"1982-12-01",6.777
"1983-01-01",7.784
"1983-02-01",8.909
"1983-03-01",11.163
"1983-04-01",12.884
"1983-05-01",19.196
"1983-06-01",24.014
"1983-07-01",26.5
"1983-08-01",25.671
"1983-09-01",24.875
"1983-10-01",17.243
"1983-11-01",11.161
"1983-12-01",9.051
"1984-01-01",7.71
"1984-02-01",8.466
"1984-03-01",12.833
"1984-04-01",14.924
"1984-05-01",22.463
"1984-06-01",24.742
"1984-07-01",25.794
"1984-08-01",24.536
"1984-09-01",23.435
"1984-10-01",15.773
"1984-11-01",11.376
"1984-12-01",8.751
"1985-01-01",6.729
"1985-02-01",8.095
"1985-03-01",12.478
"1985-04-01",16.536
"1985-05-01",20.422
"1985-06-01",25.341
"1985-07-01",27.271
"1985-08-01",25.852
"1985-09-01",22.117
"1985-10-01",17.343
"1985-11-01",11.416
"1985-12-01",8.689
"1986-01-01",10.115
"1986-02-01",11.112
"1986-03-01",13.809
"1986-04-01",17.59
"1986-05-01",21.015
"1986-06-01",25.841
"1986-07-01",25.661
"1986-08-01",26.198
"1986-09-01",22.134
"1986-10-01",16.869
"1986-11-01",11.905
"1986-12-01",7.541
"1987-01-01",6.792
"1987-02-01",8.599
"1987-03-01",10.6
"1987-04-01",16.447
"1987-05-01",18.877
"1987-06-01",25.259
"1987-07-01",26.89
"1987-08-01",24.879
"1987-09-01",22.293
"1987-10-01",19.896
"1987-11-01",10.867
"1987-12-01",6.572
"1988-01-01",7.234
"1988-02-01",10.388
"1988-03-01",12.384
"1988-04-01",15.544
"1988-05-01",20.603
"1988-06-01",25.226
"1988-07-01",27.026
"1988-08-01",25.142
"1988-09-01",22.255
"1988-10-01",19.201
"1988-11-01",11.873
"1988-12-01",6.915
"1989-01-01",6.417
"1989-02-01",11.079
"1989-03-01",15.257
"1989-04-01",19.542
"1989-05-01",22.038
"1989-06-01",25.453
"1989-07-01",27.882
"1989-08-01",25.551
"1989-09-01",24.138
"1989-10-01",17.461
"1989-11-01",12.227
"1989-12-01",7.474
"1990-01-01",6.761
"1990-02-01",7.835
"1990-03-01",12.813
"1990-04-01",16.95
"1990-05-01",19.841
"1990-06-01",27.531
"1990-07-01",25.855
"1990-08-01",23.738
"1990-09-01",23.56
"1990-10-01",17.656
"1990-11-01",12.471
"1990-12-01",7.132
"1991-01-01",7.491
"1991-02-01",10.864
"1991-03-01",10.315
"1991-04-01",15.44
"1991-05-01",19.592
"1991-06-01",22.893
"1991-07-01",26.448
"1991-08-01",25.886
"1991-09-01",22.802
"1991-10-01",18.813
"1991-11-01",10.916
"1991-12-01",7.8
"1992-01-01",6.29
"1992-02-01",9.958
"1992-03-01",11.896
"1992-04-01",17.113
"1992-05-01",19.976
"1992-06-01",24.336
"1992-07-01",26.084
"1992-08-01",24.925
"1992-09-01",23.9
"1992-10-01",18.743
"1992-11-01",9.401
"1992-12-01",7.769
"1993-01-01",9.207
"1993-02-01",9.273
"1993-03-01",12.667
"1993-04-01",16.538
"1993-05-01",21.197
"1993-06-01",25.419
"1993-07-01",26.64
"1993-08-01",26.109
"1993-09-01",23.268
"1993-10-01",18.055
"1993-11-01",11.053
"1993-12-01",8.172
"1994-01-01",8.564
"1994-02-01",9.324
"1994-03-01",13.321
"1994-04-01",16.824
"1994-05-01",20.391
"1994-06-01",27.684
"1994-07-01",27.783
"1994-08-01",27.109
"1994-09-01",23.532
"1994-10-01",17.182
"1994-11-01",10.579
"1994-12-01",8.384
"1995-01-01",7.764
"1995-02-01",11.938
"1995-03-01",12.668
"1995-04-01",14.251
"1995-05-01",18.372
"1995-06-01",23.865
"1995-07-01",27.364
"1995-08-01",27.147
"1995-09-01",24.196
"1995-10-01",19.053
"1995-11-01",14.097
"1995-12-01",9.248
"1996-01-01",8.925
"1996-02-01",12.334
"1996-03-01",12.645
"1996-04-01",17.321
"1996-05-01",22.764
"1996-06-01",27.252
"1996-07-01",27.907
"1996-08-01",26.437
"1996-09-01",22.467
"1996-10-01",17.899
"1996-11-01",12.874
"1996-12-01",8.621
"1997-01-01",7.868
"1997-02-01",9.193
"1997-03-01",14.465
"1997-04-01",15.335
"1997-05-01",22.522
"1997-06-01",25.177
"1997-07-01",27.568
"1997-08-01",26.591
"1997-09-01",25.496
"1997-10-01",17.079
"1997-11-01",12.812
"1997-12-01",5.889
"1998-01-01",8.402
"1998-02-01",7.653
"1998-03-01",11.634
"1998-04-01",13.451
"1998-05-01",19.973
"1998-06-01",24.126
"1998-07-01",27.49
"1998-08-01",26.71
"1998-09-01",25.003
"1998-10-01",18.651
"1998-11-01",12.78
"1998-12-01",8.147
"1999-01-01",9.293
"1999-02-01",11.146
"1999-03-01",13.626
"1999-04-01",14.919
"1999-05-01",20.227
"1999-06-01",24.701
"1999-07-01",25.522
"1999-08-01",25.247
"1999-09-01",23.741
"1999-10-01",18.51
"1999-11-01",14.112
"1999-12-01",6.874
"2000-01-01",9.637
"2000-02-01",11.202
"2000-03-01",12.242
"2000-04-01",17.969
"2000-05-01",23.087
"2000-06-01",25.983
"2000-07-01",27.428
"2000-08-01",25.95
"2000-09-01",24.989
"2000-10-01",17.065
"2000-11-01",8.611
"2000-12-01",9.049
"2001-01-01",6.377
"2001-02-01",8.628
"2001-03-01",11.9
"2001-04-01",15.791
"2001-05-01",21.785
"2001-06-01",26.064
"2001-07-01",25.892
"2001-08-01",25.654
"2001-09-01",24.479
"2001-10-01",18.885
"2001-11-01",13.266
"2001-12-01",6.465
"2002-01-01",8.092
"2002-02-01",9.476
"2002-03-01",12.208
"2002-04-01",18.434
"2002-05-01",20.45
"2002-06-01",27.203
"2002-07-01",27.267
"2002-08-01",25.961
"2002-09-01",24.347
"2002-10-01",16.832
"2002-11-01",12.387
"2002-12-01",6.926
"2003-01-01",10.374
"2003-02-01",9.699
"2003-03-01",11.538
"2003-04-01",15.304
"2003-05-01",21.006
"2003-06-01",25.572
"2003-07-01",28.577
"2003-08-01",26.501
"2003-09-01",24.355
"2003-10-01",20.292
"2003-11-01",12.09
"2003-12-01",8.123
"2004-01-01",8.34
"2004-02-01",7.765
"2004-03-01",15.099
"2004-04-01",15.495
"2004-05-01",21.221
"2004-06-01",25.064
"2004-07-01",26.382
"2004-08-01",25.151
"2004-09-01",22.956
"2004-10-01",17.313
"2004-11-01",9.625
"2004-12-01",7.32
"2005-01-01",9.099
"2005-02-01",9.557
"2005-03-01",11.798
"2005-04-01",15.923
"2005-05-01",21.075
"2005-06-01",25.266
"2005-07-01",28.696
"2005-08-01",25.079
"2005-09-01",24.488
"2005-10-01",18.279
"2005-11-01",12.854
"2005-12-01",9.09
"2006-01-01",8.659
"2006-02-01",10.803
"2006-03-01",11.953
"2006-04-01",17.033
"2006-05-01",21.979
"2006-06-01",27.052
"2006-07-01",27.592
"2006-08-01",24.481
"2006-09-01",21.29
"2006-10-01",16.976
"2006-11-01",13.737
"2006-12-01",6.955
"2007-01-01",5.727
"2007-02-01",9.273
"2007-03-01",13.38
"2007-04-01",16.099
"2007-05-01",21.263
"2007-06-01",26.072
"2007-07-01",27.1
"2007-08-01",26.019
"2007-09-01",24.015
"2007-10-01",18.645
"2007-11-01",14.972
"2007-12-01",7.221
"2008-01-01",7.751
"2008-02-01",9.871
"2008-03-01",12.679
"2008-04-01",16.615
"2008-05-01",19.367
"2008-06-01",26.547
"2008-07-01",25.821
"2008-08-01",25.481
"2008-09-01",22.947
"2008-10-01",18.143
"2008-11-01",12.823
"2008-12-01",8.945
"2009-01-01",9.806
"2009-02-01",10.723
"2009-03-01",13.97
"2009-04-01",15.405
"2009-05-01",22.492
"2009-06-01",24.308
"2009-07-01",28.041
"2009-08-01",27.244
"2009-09-01",24.225
"2009-10-01",17.374
"2009-11-01",13.707
"2009-12-01",6.653
"2010-01-01",7.589
"2010-02-01",8.326
"2010-03-01",10.81
"2010-04-01",15.35
"2010-05-01",19.232
"2010-06-01",25.833
"2010-07-01",27.646
"2010-08-01",26.304
"2010-09-01",25.023
"2010-10-01",18.679
"2010-11-01",10.948
"2010-12-01",10.107
"2011-01-01",7.051
"2011-02-01",7.746
"2011-03-01",14.168
"2011-04-01",17.704
"2011-05-01",19.23
"2011-06-01",26.52
"2011-07-01",27.25
"2011-08-01",27.325
"2011-09-01",24.58
"2011-10-01",18.435
"2011-11-01",11.374
"2011-12-01",6.345
"2012-01-01",9.651
"2012-02-01",9.916
"2012-03-01",12.719
"2012-04-01",17.901
"2012-05-01",22.047
"2012-06-01",27.107
"2012-07-01",26.821
"2012-08-01",27.127
"2012-09-01",23.498
"2012-10-01",19.469
"2012-11-01",14.651
"2012-12-01",8.414
"2013-01-01",5.888
"2013-02-01",7.262
"2013-03-01",15.027
"2013-04-01",17.529
"2013-05-01",21.515
"2013-06-01",28.242
"2013-07-01",26.938
"2013-08-01",26.756
"2013-09-01",24.117
"2013-10-01",17.323
"2013-11-01",12.789
"2013-12-01",8.321
"2014-01-01",10.068
"2014-02-01",12.27
"2014-03-01",14.706
"2014-04-01",17.558
"2014-05-01",21.355
"2014-06-01",28.541
"2014-07-01",27.779
"2014-08-01",25.574
"2014-09-01",23.903
"2014-10-01",19.584
"2014-11-01",12.104
"2014-12-01",8.911
"2015-01-01",8.794
"2015-02-01",13.023
"2015-03-01",15.06
"2015-04-01",16.618
"2015-05-01",18.315
"2015-06-01",26.961
"2015-07-01",26.824
"2015-08-01",27.12
"2015-09-01",23.949
"2015-10-01",19.102
"2015-11-01",11.251
"2015-12-01",7.145
"2016-01-01",7.156
"2016-02-01",11.961
"2016-03-01",14.776
"2016-04-01",16.027
"2016-05-01",20.24
"2016-06-01",27.259
"2016-07-01",27.919
"2016-08-01",25.626
"2016-09-01",22.796
"2016-10-01",20.534
"2016-11-01",13.425
"2016-12-01",9.552
"2017-01-01",7.787
"2017-02-01",11.089
"2017-03-01",15.638
"2017-04-01",17.433
"2017-05-01",20.764
"2017-06-01",27.566
"2017-07-01",26.891
"2017-08-01",25.908
"2017-09-01",23.826
"2017-10-01",20.407
"2017-11-01",16.133
"2017-12-01",9.346
"2018-01-01",10.14
"2018-02-01",11.187
"2018-03-01",13.793
"2018-04-01",19.427
"2018-05-01",21.965
"2018-06-01",26.864
"2018-07-01",27.72
"2018-08-01",26.517
"2018-09-01",25.121
"2018-10-01",16.85
"2018-11-01",11.095
"2018-12-01",8.016
"2019-01-01",7.509
"2019-02-01",7.698
"2019-03-01",13.265
"2019-04-01",16.8255
"2019-05-01",18.0174
"2019-06-01",25.717
"2019-07-01",28.5745
"2019-08-01",27.9124
"2019-09-01",24.5839
"2019-10-01",18.501
"2019-11-01",13.301
"2019-12-01",7.8024
"2020-01-01",9.07
"2020-02-01",9.5309
"2020-03-01",12.5845
"2020-04-01",16.97
"2020-05-01",23.207
"2020-06-01",26.2424
"2020-07-01",28.9204
"2020-08-01",30.0495
"2020-09-01",25.8675
"2020-10-01",21.0735
"2020-11-01",14.8264
"2020-12-01",7.801
"2021-01-01",7.5202
"2021-02-01",9.9365
"2021-03-01",11.6236
"2021-04-01",18.042
"2021-05-01",21.8978
"2021-06-01",28.137
"2021-07-01",27.0024
"2021-08-01",26.6852
"2021-09-01",24.0768
"2021-10-01",17.9763
"2021-11-01",14.4098
"2021-12-01",10.6279
"2022-01-01",8.1466
"2022-02-01",7.5679
"2022-03-01",12.2494
"2022-04-01",17.9443
"2022-05-01",22.167