,"(mm) Precipitation (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1950-01-01",7.71
"1950-02-01",19.52
"1950-03-01",3.77
"1950-04-01",0
"1950-05-01",0
"1950-06-01",24.23
"1950-07-01",144.4
"1950-08-01",17.95
"1950-09-01",3.31
"1950-10-01",6.69
"1950-11-01",0
"1950-12-01",0
"1951-01-01",21.11
"1951-02-01",5.91
"1951-03-01",4.97
"1951-04-01",27.62
"1951-05-01",5.28
"1951-06-01",0
"1951-07-01",60.81
"1951-08-01",80.85
"1951-09-01",14.27
"1951-10-01",29.52
"1951-11-01",13.91
"1951-12-01",16.83
"1952-01-01",8.54
"1952-02-01",1.18
"1952-03-01",34.99
"1952-04-01",31.87
"1952-05-01",0.13
"1952-06-01",39.36
"1952-07-01",54.71
"1952-08-01",57.98
"1952-09-01",14.88
"1952-10-01",0
"1952-11-01",40.92
"1952-12-01",9.72
"1953-01-01",0
"1953-02-01",11.81
"1953-03-01",20.46
"1953-04-01",0.52
"1953-05-01",0
"1953-06-01",1.6
"1953-07-01",89.48
"1953-08-01",18.92
"1953-09-01",0
"1953-10-01",3
"1953-11-01",0.66
"1953-12-01",0.85
"1954-01-01",17.7
"1954-02-01",3.51
"1954-03-01",11.44
"1954-04-01",0
"1954-05-01",19.06
"1954-06-01",22.93
"1954-07-01",85.92
"1954-08-01",125.08
"1954-09-01",21.28
"1954-10-01",11.2
"1954-11-01",0
"1954-12-01",0.04
"1955-01-01",35.45
"1955-02-01",5.5
"1955-03-01",8.59
"1955-04-01",0
"1955-05-01",2.6
"1955-06-01",3.08
"1955-07-01",168.81
"1955-08-01",107.94
"1955-09-01",5.13
"1955-10-01",9.02
"1955-11-01",0
"1955-12-01",3.66
"1956-01-01",17.69
"1956-02-01",7.41
"1956-03-01",0
"1956-04-01",2.17
"1956-05-01",1.03
"1956-06-01",19.56
"1956-07-01",100.81
"1956-08-01",35.41
"1956-09-01",0.14
"1956-10-01",5.28
"1956-11-01",1.45
"1956-12-01",5.45
"1957-01-01",35.3
"1957-02-01",4.42
"1957-03-01",33.69
"1957-04-01",2.47
"1957-05-01",5.1
"1957-06-01",6.96
"1957-07-01",68.49
"1957-08-01",109.57
"1957-09-01",0.01
"1957-10-01",36.47
"1957-11-01",8.12
"1957-12-01",11.3
"1958-01-01",0.07
"1958-02-01",28.36
"1958-03-01",57.71
"1958-04-01",17.21
"1958-05-01",0
"1958-06-01",12.66
"1958-07-01",71.21
"1958-08-01",89.74
"1958-09-01",65
"1958-10-01",33.09
"1958-11-01",14.43
"1958-12-01",0
"1959-01-01",0
"1959-02-01",14.04
"1959-03-01",0
"1959-04-01",7.56
"1959-05-01",0
"1959-06-01",15.53
"1959-07-01",124.71
"1959-08-01",114.11
"1959-09-01",7.44
"1959-10-01",42.35
"1959-11-01",25.95
"1959-12-01",29.73
"1960-01-01",45.52
"1960-02-01",14.43
"1960-03-01",6.24
"1960-04-01",0
"1960-05-01",0
"1960-06-01",7.3
"1960-07-01",46.05
"1960-08-01",46.44
"1960-09-01",34.94
"1960-10-01",22.28
"1960-11-01",5.63
"1960-12-01",21.08
"1961-01-01",23.84
"1961-02-01",1.26
"1961-03-01",0.61
"1961-04-01",0
"1961-05-01",0
"1961-06-01",18.81
"1961-07-01",57
"1961-08-01",110.63
"1961-09-01",23.73
"1961-10-01",41.07
"1961-11-01",11.45
"1961-12-01",30.32
"1962-01-01",41.46
"1962-02-01",4.8
"1962-03-01",13.94
"1962-04-01",0
"1962-05-01",0
"1962-06-01",8.65
"1962-07-01",96.18
"1962-08-01",12.58
"1962-09-01",53.01
"1962-10-01",4.8
"1962-11-01",12.68
"1962-12-01",32.66
"1963-01-01",7.64
"1963-02-01",10.84
"1963-03-01",1.82
"1963-04-01",2.82
"1963-05-01",0
"1963-06-01",1.03
"1963-07-01",89.36
"1963-08-01",90.12
"1963-09-01",43.9
"1963-10-01",8.93
"1963-11-01",28.12
"1963-12-01",8.93
"1964-01-01",5.85
"1964-02-01",0
"1964-03-01",19.68
"1964-04-01",2.42
"1964-05-01",0
"1964-06-01",1.62
"1964-07-01",100.03
"1964-08-01",61.51
"1964-09-01",70.79
"1964-10-01",22.59
"1964-11-01",24.28
"1964-12-01",1.63
"1965-01-01",16.23
"1965-02-01",5.39
"1965-03-01",8.3
"1965-04-01",1.98
"1965-05-01",0.55
"1965-06-01",4.52
"1965-07-01",104.59
"1965-08-01",66.22
"1965-09-01",29.22
"1965-10-01",0
"1965-11-01",8.51
"1965-12-01",94.84
"1966-01-01",12.87
"1966-02-01",39.9
"1966-03-01",1.57
"1966-04-01",1.14
"1966-05-01",0
"1966-06-01",5.94
"1966-07-01",145.83
"1966-08-01",159.51
"1966-09-01",68.6
"1966-10-01",0
"1966-11-01",9.42
"1966-12-01",0.51
"1967-01-01",0
"1967-02-01",6.59
"1967-03-01",4.21
"1967-04-01",6.72
"1967-05-01",8.52
"1967-06-01",10.56
"1967-07-01",104.35
"1967-08-01",75.56
"1967-09-01",66.72
"1967-10-01",17.63
"1967-11-01",6.34
"1967-12-01",105.19
"1968-01-01",16.96
"1968-02-01",29.56
"1968-03-01",26.75
"1968-04-01",6.77
"1968-05-01",0
"1968-06-01",0
"1968-07-01",59.34
"1968-08-01",102.17
"1968-09-01",8.1
"1968-10-01",2.03
"1968-11-01",18.7
"1968-12-01",14.28
"1969-01-01",9.61
"1969-02-01",14.58
"1969-03-01",6.36
"1969-04-01",0
"1969-05-01",11.33
"1969-06-01",0
"1969-07-01",131.73
"1969-08-01",86.48
"1969-09-01",27.22
"1969-10-01",2.86
"1969-11-01",13.97
"1969-12-01",10.97
"1970-01-01",0
"1970-02-01",8.64
"1970-03-01",29.43
"1970-04-01",4.09
"1970-05-01",0.39
"1970-06-01",15.09
"1970-07-01",39.75
"1970-08-01",125.91
"1970-09-01",53.22
"1970-10-01",8.84
"1970-11-01",0
"1970-12-01",8.31
"1971-01-01",2.96
"1971-02-01",12.58
"1971-03-01",0
"1971-04-01",11.06
"1971-05-01",0
"1971-06-01",6.58
"1971-07-01",63.26
"1971-08-01",141.99
"1971-09-01",41.85
"1971-10-01",43.38
"1971-11-01",6.28
"1971-12-01",38.41
"1972-01-01",5.21
"1972-02-01",0
"1972-03-01",0
"1972-04-01",0
"1972-05-01",4.77
"1972-06-01",41.91
"1972-07-01",68.39
"1972-08-01",97.16
"1972-09-01",34.47
"1972-10-01",76.68
"1972-11-01",26.98
"1972-12-01",5.43
"1973-01-01",12.1
"1973-02-01",42.84
"1973-03-01",52.63
"1973-04-01",0
"1973-05-01",4.82
"1973-06-01",14.92
"1973-07-01",83.47
"1973-08-01",23.67
"1973-09-01",5.5
"1973-10-01",0
"1973-11-01",6.72
"1973-12-01",0
"1974-01-01",24.91
"1974-02-01",0
"1974-03-01",5.01
"1974-04-01",0
"1974-05-01",1.5
"1974-06-01",2.07
"1974-07-01",139.6
"1974-08-01",71.58
"1974-09-01",43.37
"1974-10-01",51.66
"1974-11-01",4.13
"1974-12-01",4.37
"1975-01-01",12.64
"1975-02-01",0.77
"1975-03-01",13.02
"1975-04-01",9.55
"1975-05-01",0
"1975-06-01",0
"1975-07-01",109.47
"1975-08-01",20.7
"1975-09-01",62.92
"1975-10-01",1.38
"1975-11-01",12.96
"1975-12-01",5.54
"1976-01-01",6.52
"1976-02-01",23.12
"1976-03-01",5.72
"1976-04-01",12.97
"1976-05-01",12.54
"1976-06-01",5.04
"1976-07-01",133.36
"1976-08-01",38.38
"1976-09-01",49.72
"1976-10-01",21.39
"1976-11-01",14.13
"1976-12-01",6.23
"1977-01-01",33
"1977-02-01",0
"1977-03-01",8.71
"1977-04-01",1.46
"1977-05-01",1.12
"1977-06-01",9.58
"1977-07-01",81.28
"1977-08-01",91.04
"1977-09-01",69.74
"1977-10-01",94.03
"1977-11-01",4.87
"1977-12-01",15.51
"1978-01-01",46.03
"1978-02-01",41.21
"1978-03-01",21.21
"1978-04-01",1.31
"1978-05-01",12.04
"1978-06-01",8.63
"1978-07-01",68.37
"1978-08-01",42.55
"1978-09-01",13.59
"1978-10-01",60.07
"1978-11-01",36.02
"1978-12-01",53.73
"1979-01-01",66.87
"1979-02-01",10.21
"1979-03-01",17.68
"1979-04-01",0
"1979-05-01",11.97
"1979-06-01",16.98
"1979-07-01",60.99
"1979-08-01",45.24
"1979-09-01",7.76
"1979-10-01",4.59
"1979-11-01",6.16
"1979-12-01",6.68
"1980-01-01",5.32
"1980-02-01",38.89
"1980-03-01",8.97
"1980-04-01",0.11
"1980-05-01",1.02
"1980-06-01",7.72
"1980-07-01",55.82
"1980-08-01",64.71
"1980-09-01",31.48
"1980-10-01",2.68
"1980-11-01",1.87
"1980-12-01",6.57
"1981-01-01",25.413
"1981-02-01",12.051
"1981-03-01",35.759
"1981-04-01",3.578
"1981-05-01",4.413
"1981-06-01",31.14
"1981-07-01",103.3
"1981-08-01",27.352
"1981-09-01",17.441
"1981-10-01",15.942
"1981-11-01",6.86
"1981-12-01",0
"1982-01-01",10.773
"1982-02-01",7.234
"1982-03-01",11.398
"1982-04-01",0.195
"1982-05-01",17.82
"1982-06-01",0
"1982-07-01",60.367
"1982-08-01",65.466
"1982-09-01",57.584
"1982-10-01",0
"1982-11-01",15.712
"1982-12-01",60.909
"1983-01-01",39.973
"1983-02-01",35.056
"1983-03-01",41.365
"1983-04-01",4.503
"1983-05-01",0.47
"1983-06-01",0
"1983-07-01",73.285
"1983-08-01",55.501
"1983-09-01",127.234
"1983-10-01",74.323
"1983-11-01",31.21
"1983-12-01",12.911
"1984-01-01",30.825
"1984-02-01",0
"1984-03-01",0
"1984-04-01",13.521
"1984-05-01",4.028
"1984-06-01",30.746
"1984-07-01",116.153
"1984-08-01",88.968
"1984-09-01",40.089
"1984-10-01",54.214
"1984-11-01",18.127
"1984-12-01",82.787
"1985-01-01",37.515
"1985-02-01",19.957
"1985-03-01",9.115
"1985-04-01",24.073
"1985-05-01",1.473
"1985-06-01",6.393
"1985-07-01",72.735
"1985-08-01",39.938
"1985-09-01",75.912
"1985-10-01",57.027
"1985-11-01",26.898
"1985-12-01",5.305
"1986-01-01",3.036
"1986-02-01",29.412
"1986-03-01",16.998
"1986-04-01",1.344
"1986-05-01",6.013
"1986-06-01",21.578
"1986-07-01",61.167
"1986-08-01",143.265
"1986-09-01",20.519
"1986-10-01",21.955
"1986-11-01",16.079
"1986-12-01",60.363
"1987-01-01",5.187
"1987-02-01",26.869
"1987-03-01",5.925
"1987-04-01",30.389
"1987-05-01",19.569
"1987-06-01",13.908
"1987-07-01",40.797
"1987-08-01",108.91
"1987-09-01",51.269
"1987-10-01",13.405
"1987-11-01",0.944
"1987-12-01",54.453
"1988-01-01",14.055
"1988-02-01",4.289
"1988-03-01",4.221
"1988-04-01",25.892
"1988-05-01",0
"1988-06-01",8.608
"1988-07-01",123.622
"1988-08-01",125.237
"1988-09-01",41.806
"1988-10-01",79.143
"1988-11-01",5.676
"1988-12-01",5.638
"1989-01-01",25.606
"1989-02-01",3.051
"1989-03-01",9.831
"1989-04-01",0.325
"1989-05-01",8.382
"1989-06-01",0
"1989-07-01",80.326
"1989-08-01",44.509
"1989-09-01",10.705
"1989-10-01",48.706
"1989-11-01",0.587
"1989-12-01",1.692
"1990-01-01",3.998
"1990-02-01",13.768
"1990-03-01",6.389
"1990-04-01",7.408
"1990-05-01",4.428
"1990-06-01",12.139
"1990-07-01",123.746
"1990-08-01",67.93
"1990-09-01",45.324
"1990-10-01",20.742
"1990-11-01",22.249
"1990-12-01",20.165
"1991-01-01",27.723
"1991-02-01",35.554
"1991-03-01",18.778
"1991-04-01",0
"1991-05-01",0.775
"1991-06-01",12.496
"1991-07-01",56.613
"1991-08-01",71.79
"1991-09-01",38.219
"1991-10-01",5.628
"1991-11-01",6.94
"1991-12-01",68.861
"1992-01-01",29.717
"1992-02-01",21.085
"1992-03-01",49.604
"1992-04-01",9.849
"1992-05-01",43.408
"1992-06-01",2.565
"1992-07-01",85.782
"1992-08-01",97.519
"1992-09-01",5.286
"1992-10-01",11.148
"1992-11-01",0.299
"1992-12-01",55.603
"1993-01-01",92.715
"1993-02-01",29.041
"1993-03-01",13.663
"1993-04-01",0
"1993-05-01",14.828
"1993-06-01",2.807
"1993-07-01",63.324
"1993-08-01",109.522
"1993-09-01",17.324
"1993-10-01",6.59
"1993-11-01",16.263
"1993-12-01",1.883
"1994-01-01",2.878
"1994-02-01",10.405
"1994-03-01",15.281
"1994-04-01",3.108
"1994-05-01",7.243
"1994-06-01",19.074
"1994-07-01",40.519
"1994-08-01",58.39
"1994-09-01",49.506
"1994-10-01",7.362
"1994-11-01",55.711
"1994-12-01",83.052
"1995-01-01",9.11
"1995-02-01",29.806
"1995-03-01",13.604
"1995-04-01",2.247
"1995-05-01",0.712
"1995-06-01",0
"1995-07-01",45.43
"1995-08-01",91.967
"1995-09-01",30.752
"1995-10-01",17.904
"1995-11-01",11.72
"1995-12-01",7.672
"1996-01-01",0
"1996-02-01",12.636
"1996-03-01",1.561
"1996-04-01",0.903
"1996-05-01",0
"1996-06-01",36.997
"1996-07-01",82.93
"1996-08-01",58.79
"1996-09-01",37.118
"1996-10-01",17.006
"1996-11-01",4.893
"1996-12-01",1.225
"1997-01-01",27.102
"1997-02-01",10.046
"1997-03-01",2.834
"1997-04-01",6.499
"1997-05-01",23.023
"1997-06-01",1.145
"1997-07-01",35.472
"1997-08-01",72.178
"1997-09-01",57.477
"1997-10-01",9.818
"1997-11-01",11.264
"1997-12-01",62.383
"1998-01-01",1.99
"1998-02-01",42.022
"1998-03-01",18.748
"1998-04-01",1.358
"1998-05-01",0
"1998-06-01",8.577
"1998-07-01",94.582
"1998-08-01",70.818
"1998-09-01",14.713
"1998-10-01",3.859
"1998-11-01",11.291
"1998-12-01",6.408
"1999-01-01",1.406
"1999-02-01",0
"1999-03-01",4.235
"1999-04-01",8.958
"1999-05-01",0
"1999-06-01",8.035
"1999-07-01",140.114
"1999-08-01",132.262
"1999-09-01",29.953
"1999-10-01",1.254
"1999-11-01",0
"1999-12-01",0
"2000-01-01",0.667
"2000-02-01",6.704
"2000-03-01",9.146
"2000-04-01",0
"2000-05-01",0
"2000-06-01",73.678
"2000-07-01",39.01
"2000-08-01",107.368
"2000-09-01",8.35
"2000-10-01",159.035
"2000-11-01",42.51
"2000-12-01",8.113
"2001-01-01",33.572
"2001-02-01",5.66
"2001-03-01",7.939
"2001-04-01",21.789
"2001-05-01",8.448
"2001-06-01",9.862
"2001-07-01",79.799
"2001-08-01",69.539
"2001-09-01",32.494
"2001-10-01",17.01
"2001-11-01",3.543
"2001-12-01",10.532
"2002-01-01",3.913
"2002-02-01",20.262
"2002-03-01",0
"2002-04-01",0
"2002-05-01",0
"2002-06-01",0
"2002-07-01",78.017
"2002-08-01",41.016
"2002-09-01",37.402
"2002-10-01",13.724
"2002-11-01",4.796
"2002-12-01",20.796
"2003-01-01",2.466
"2003-02-01",37.499
"2003-03-01",7.543
"2003-04-01",0.001
"2003-05-01",2.446
"2003-06-01",1.506
"2003-07-01",56.312
"2003-08-01",59.939
"2003-09-01",36.915
"2003-10-01",17.646
"2003-11-01",20.38
"2003-12-01",2.882
"2004-01-01",5.15
"2004-02-01",16.474
"2004-03-01",32.936
"2004-04-01",12.459
"2004-05-01",0
"2004-06-01",2.275
"2004-07-01",37.394
"2004-08-01",48.38
"2004-09-01",39.088
"2004-10-01",8.248
"2004-11-01",13.11
"2004-12-01",13.036
"2005-01-01",31.859
"2005-02-01",32.743
"2005-03-01",2.104
"2005-04-01",3.887
"2005-05-01",15.304
"2005-06-01",0.356
"2005-07-01",61.439
"2005-08-01",67.825
"2005-09-01",17.809
"2005-10-01",3.129
"2005-11-01",0
"2005-12-01",2.735
"2006-01-01",1.49
"2006-02-01",2.547
"2006-03-01",3.411
"2006-04-01",0
"2006-05-01",0
"2006-06-01",9.782
"2006-07-01",86.123
"2006-08-01",76.107
"2006-09-01",105.202
"2006-10-01",14.511
"2006-11-01",0
"2006-12-01",5.164
"2007-01-01",21.42
"2007-02-01",1.154
"2007-03-01",28.389
"2007-04-01",3.62
"2007-05-01",3.604
"2007-06-01",15.355
"2007-07-01",81.812
"2007-08-01",45.132
"2007-09-01",23.428
"2007-10-01",7.856
"2007-11-01",19.028
"2007-12-01",14.173
"2008-01-01",1.235
"2008-02-01",3.634
"2008-03-01",0
"2008-04-01",0.366
"2008-05-01",10.356
"2008-06-01",28.07
"2008-07-01",147.646
"2008-08-01",81.547
"2008-09-01",40.22
"2008-10-01",3.406
"2008-11-01",12.119
"2008-12-01",4.553
"2009-01-01",5.041
"2009-02-01",3.562
"2009-03-01",8.192
"2009-04-01",0.001
"2009-05-01",8.585
"2009-06-01",26.319
"2009-07-01",59.074
"2009-08-01",57.758
"2009-09-01",18.67
"2009-10-01",10.402
"2009-11-01",4.581
"2009-12-01",3.435
"2010-01-01",41.497
"2010-02-01",34.481
"2010-03-01",12.017
"2010-04-01",5.543
"2010-05-01",0
"2010-06-01",0.001
"2010-07-01",94.815
"2010-08-01",111.31
"2010-09-01",18.829
"2010-10-01",19.61
"2010-11-01",0.277
"2010-12-01",5.68
"2011-01-01",0
"2011-02-01",3.862
"2011-03-01",0
"2011-04-01",0.743
"2011-05-01",0
"2011-06-01",17.074
"2011-07-01",106.576
"2011-08-01",123.259
"2011-09-01",66.877
"2011-10-01",5.273
"2011-11-01",14.363
"2011-12-01",30.138
"2012-01-01",0.377
"2012-02-01",2.217
"2012-03-01",4.021
"2012-04-01",0
"2012-05-01",5.7627
"2012-06-01",0.584
"2012-07-01",103.041
"2012-08-01",40.108
"2012-09-01",50.39
"2012-10-01",0
"2012-11-01",4.903
"2012-12-01",20.1747
"2013-01-01",11.095
"2013-02-01",5.995
"2013-03-01",4.643
"2013-04-01",0.165
"2013-05-01",0
"2013-06-01",4.78
"2013-07-01",92.598
"2013-08-01",64.65
"2013-09-01",46.075
"2013-10-01",0
"2013-11-01",12.479
"2013-12-01",6.65
"2014-01-01",0
"2014-02-01",0
"2014-03-01",20.647
"2014-04-01",0.826
"2014-05-01",0
"2014-06-01",0
"2014-07-01",94.105
"2014-08-01",150.571
"2014-09-01",153.33
"2014-10-01",31.836
"2014-11-01",0
"2014-12-01",12.953
"2015-01-01",52.083
"2015-02-01",13.75
"2015-03-01",17.439
"2015-04-01",7.066
"2015-05-01",3.185
"2015-06-01",25.621
"2015-07-01",82.614
"2015-08-01",67.658
"2015-09-01",69.815
"2015-10-01",41.107
"2015-11-01",9.012
"2015-12-01",3.456
"2016-01-01",28.14
"2016-02-01",5.665
"2016-03-01",0.788
"2016-04-01",2.183
"2016-05-01",2.092
"2016-06-01",24.312
"2016-07-01",72.352
"2016-08-01",21.907
"2016-09-01",103.804
"2016-10-01",4.51
"2016-11-01",2.422
"2016-12-01",22.767
"2017-01-01",12.694
"2017-02-01",4.002
"2017-03-01",2.153
"2017-04-01",0.925
"2017-05-01",2.289
"2017-06-01",5.089
"2017-07-01",143.861
"2017-08-01",61.46
"2017-09-01",10.346
"2017-10-01",1.637
"2017-11-01",4.862
"2017-12-01",5.483
"2018-01-01",0.001
"2018-02-01",47.784
"2018-03-01",1.422
"2018-04-01",0
"2018-05-01",0
"2018-06-01",25.204
"2018-07-01",73.7
"2018-08-01",66.088
"2018-09-01",12.755
"2018-10-01",86.214
"2018-11-01",3.641
"2018-12-01",25.423
"2019-01-01",12.907
"2019-02-01",24.003
"2019-03-01",21.268
"2019-04-01",1.865
"2019-05-01",5.093
"2019-06-01",2.043
"2019-07-01",43.087
"2019-08-01",33.321
"2019-09-01",107.42
"2019-10-01",1.041
"2019-11-01",99.582
"2019-12-01",17.289
"2020-01-01",10.441
"2020-02-01",25.014
"2020-03-01",47.067
"2020-04-01",0.569
"2020-05-01",0.886
"2020-06-01",2.625
"2020-07-01",45.511
"2020-08-01",53.304
"2020-09-01",19.92
"2020-10-01",0
"2020-11-01",2.506
"2020-12-01",12.385
"2021-01-01",20.7033
"2021-02-01",0.6403
"2021-03-01",10.5059
"2021-04-01",0.7886
"2021-05-01",0
"2021-06-01",5.1905
"2021-07-01",163.38
"2021-08-01",92.4041
"2021-09-01",37.9356
"2021-10-01",2.6227
"2021-11-01",2.01
"2021-12-01",10.6968
"2022-01-01",8.1804
"2022-02-01",3.1325
"2022-03-01",10.681
"2022-04-01",0
"2022-05-01",0