,"(deg C) Mean Temperature (PRISM MONTHLY) at -110.8661E,31.8214N, Jan 1950 to May 2022"
"1950-01-01",9.58
"1950-02-01",12.455
"1950-03-01",14.4
"1950-04-01",19.19
"1950-05-01",20.485
"1950-06-01",26.16
"1950-07-01",26.14
"1950-08-01",26.605
"1950-09-01",24.12
"1950-10-01",23.66
"1950-11-01",16.705
"1950-12-01",13.91
"1951-01-01",9.285
"1951-02-01",10.62
"1951-03-01",12.83
"1951-04-01",16.545
"1951-05-01",20.735
"1951-06-01",25.17
"1951-07-01",29.135
"1951-08-01",27.015
"1951-09-01",26.37
"1951-10-01",20.785
"1951-11-01",13.05
"1951-12-01",10.05
"1952-01-01",10.115
"1952-02-01",9.495
"1952-03-01",9.5
"1952-04-01",16.09
"1952-05-01",22.355
"1952-06-01",26.275
"1952-07-01",28.34
"1952-08-01",27.09
"1952-09-01",26.525
"1952-10-01",22.01
"1952-11-01",12.035
"1952-12-01",8.62
"1953-01-01",11.525
"1953-02-01",9.97
"1953-03-01",13.895
"1953-04-01",16.2
"1953-05-01",18.22
"1953-06-01",26.86
"1953-07-01",27.635
"1953-08-01",27.5
"1953-09-01",25.265
"1953-10-01",20.25
"1953-11-01",15.135
"1953-12-01",8.695
"1954-01-01",10.755
"1954-02-01",14.37
"1954-03-01",13.05
"1954-04-01",19.445
"1954-05-01",21.31
"1954-06-01",25.705
"1954-07-01",27.405
"1954-08-01",24.98
"1954-09-01",25.45
"1954-10-01",21.37
"1954-11-01",15.615
"1954-12-01",11.425
"1955-01-01",6.74
"1955-02-01",8.435
"1955-03-01",13.54
"1955-04-01",16.21
"1955-05-01",20.32
"1955-06-01",25.97
"1955-07-01",26.605
"1955-08-01",24.32
"1955-09-01",24.655
"1955-10-01",21.495
"1955-11-01",13.715
"1955-12-01",12.105
"1956-01-01",12.415
"1956-02-01",7.91
"1956-03-01",13.41
"1956-04-01",15.395
"1956-05-01",22.195
"1956-06-01",27.93
"1956-07-01",27.32
"1956-08-01",26.265
"1956-09-01",26.095
"1956-10-01",20
"1956-11-01",12.87
"1956-12-01",10.135
"1957-01-01",10.48
"1957-02-01",14.195
"1957-03-01",13.25
"1957-04-01",16.15
"1957-05-01",19.17
"1957-06-01",27.64
"1957-07-01",28.44
"1957-08-01",26.115
"1957-09-01",25.175
"1957-10-01",18.23
"1957-11-01",10.585
"1957-12-01",10.675
"1958-01-01",8.615
"1958-02-01",11.34
"1958-03-01",10.085
"1958-04-01",15.55
"1958-05-01",23.29
"1958-06-01",27.5
"1958-07-01",28.13
"1958-08-01",26.17
"1958-09-01",24.235
"1958-10-01",19.88
"1958-11-01",12.84
"1958-12-01",11.865
"1959-01-01",10.675
"1959-02-01",9.545
"1959-03-01",13.095
"1959-04-01",18.225
"1959-05-01",20.695
"1959-06-01",27.88
"1959-07-01",27.705
"1959-08-01",25.075
"1959-09-01",24.57
"1959-10-01",19.835
"1959-11-01",12.85
"1959-12-01",9.76
"1960-01-01",6.88
"1960-02-01",7.905
"1960-03-01",15.19
"1960-04-01",17.79
"1960-05-01",20.925
"1960-06-01",27.09
"1960-07-01",28.76
"1960-08-01",27.36
"1960-09-01",25.855
"1960-10-01",18.69
"1960-11-01",14.625
"1960-12-01",8.885
"1961-01-01",10.765
"1961-02-01",10.995
"1961-03-01",13.275
"1961-04-01",17.56
"1961-05-01",21.935
"1961-06-01",27.375
"1961-07-01",27.93
"1961-08-01",25.585
"1961-09-01",22.695
"1961-10-01",19.215
"1961-11-01",11.03
"1961-12-01",9.365
"1962-01-01",8.065
"1962-02-01",11.66
"1962-03-01",10.315
"1962-04-01",19.435
"1962-05-01",20.15
"1962-06-01",24.81
"1962-07-01",27.265
"1962-08-01",28.26
"1962-09-01",25.365
"1962-10-01",20.205
"1962-11-01",15.53
"1962-12-01",10.73
"1963-01-01",7.905
"1963-02-01",13.25
"1963-03-01",12.955
"1963-04-01",16.02
"1963-05-01",22.82
"1963-06-01",24.695
"1963-07-01",28.9
"1963-08-01",25.15
"1963-09-01",25.135
"1963-10-01",21.09
"1963-11-01",13.57
"1963-12-01",10.11
"1964-01-01",7.03
"1964-02-01",7.51
"1964-03-01",10.565
"1964-04-01",15.305
"1964-05-01",20.79
"1964-06-01",25.24
"1964-07-01",28.095
"1964-08-01",25.035
"1964-09-01",22.575
"1964-10-01",20.675
"1964-11-01",11.33
"1964-12-01",10.49
"1965-01-01",10.485
"1965-02-01",9.545
"1965-03-01",11.44
"1965-04-01",16.49
"1965-05-01",19.74
"1965-06-01",23.095
"1965-07-01",27.275
"1965-08-01",27.245
"1965-09-01",23.535
"1965-10-01",19.95
"1965-11-01",16.07
"1965-12-01",9.805
"1966-01-01",7.705
"1966-02-01",7.89
"1966-03-01",14.165
"1966-04-01",17.82
"1966-05-01",22.495
"1966-06-01",26.33
"1966-07-01",28
"1966-08-01",26.145
"1966-09-01",23.815
"1966-10-01",18.985
"1966-11-01",15.29
"1966-12-01",10.685
"1967-01-01",9.855
"1967-02-01",12.28
"1967-03-01",15.575
"1967-04-01",15.46
"1967-05-01",20.445
"1967-06-01",24.33
"1967-07-01",26.915
"1967-08-01",26.345
"1967-09-01",24.44
"1967-10-01",20.28
"1967-11-01",15.485
"1967-12-01",7.79
"1968-01-01",9.36
"1968-02-01",12.785
"1968-03-01",12.685
"1968-04-01",14.94
"1968-05-01",20.39
"1968-06-01",26.5
"1968-07-01",26.695
"1968-08-01",24.54
"1968-09-01",24.49
"1968-10-01",20.465
"1968-11-01",12.965
"1968-12-01",8.93
"1969-01-01",10.915
"1969-02-01",9.73
"1969-03-01",10.26
"1969-04-01",17.69
"1969-05-01",21.55
"1969-06-01",24.935
"1969-07-01",27.565
"1969-08-01",27.775
"1969-09-01",25.28
"1969-10-01",18.16
"1969-11-01",13.555
"1969-12-01",11.02
"1970-01-01",8.985
"1970-02-01",12.05
"1970-03-01",11.38
"1970-04-01",14.53
"1970-05-01",22.03
"1970-06-01",26.99
"1970-07-01",28.445
"1970-08-01",26.63
"1970-09-01",23.27
"1970-10-01",17.065
"1970-11-01",14.16
"1970-12-01",10.525
"1971-01-01",9.79
"1971-02-01",10.81
"1971-03-01",14.225
"1971-04-01",16.025
"1971-05-01",19.58
"1971-06-01",25.395
"1971-07-01",28.685
"1971-08-01",25.38
"1971-09-01",24.025
"1971-10-01",16.52
"1971-11-01",12.31
"1971-12-01",8.31
"1972-01-01",9.48
"1972-02-01",12.305
"1972-03-01",17.95
"1972-04-01",17.37
"1972-05-01",20.815
"1972-06-01",24.68
"1972-07-01",28.27
"1972-08-01",26.495
"1972-09-01",23.935
"1972-10-01",18.48
"1972-11-01",10.345
"1972-12-01",8.63
"1973-01-01",7.48
"1973-02-01",9.875
"1973-03-01",9.675
"1973-04-01",14.37
"1973-05-01",21.41
"1973-06-01",26.025
"1973-07-01",27.155
"1973-08-01",27.44
"1973-09-01",24.84
"1973-10-01",19.685
"1973-11-01",13.905
"1973-12-01",10.225
"1974-01-01",9.265
"1974-02-01",10.18
"1974-03-01",14.4
"1974-04-01",17.475
"1974-05-01",21.77
"1974-06-01",28.645
"1974-07-01",26.38
"1974-08-01",25.975
"1974-09-01",24.055
"1974-10-01",19.73
"1974-11-01",12.95
"1974-12-01",7.965
"1975-01-01",9.695
"1975-02-01",9.425
"1975-03-01",12.4
"1975-04-01",13.795
"1975-05-01",19.9
"1975-06-01",25.52
"1975-07-01",27.15
"1975-08-01",27.865
"1975-09-01",24.745
"1975-10-01",20.05
"1975-11-01",14.695
"1975-12-01",10.04
"1976-01-01",10.16
"1976-02-01",12.625
"1976-03-01",13.015
"1976-04-01",15.755
"1976-05-01",20.895
"1976-06-01",25.75
"1976-07-01",26.085
"1976-08-01",26.05
"1976-09-01",23.125
"1976-10-01",17.66
"1976-11-01",12.695
"1976-12-01",8.77
"1977-01-01",8.33
"1977-02-01",11.91
"1977-03-01",10.975
"1977-04-01",16.35
"1977-05-01",18.69
"1977-06-01",26.185
"1977-07-01",28.01
"1977-08-01",27.15
"1977-09-01",25.01
"1977-10-01",20.585
"1977-11-01",14.45
"1977-12-01",12.285
"1978-01-01",10.09
"1978-02-01",10.345
"1978-03-01",14.87
"1978-04-01",16.515
"1978-05-01",20.46
"1978-06-01",27.76
"1978-07-01",29.22
"1978-08-01",27.015
"1978-09-01",24.33
"1978-10-01",21.05
"1978-11-01",13.085
"1978-12-01",7.945
"1979-01-01",7.48
"1979-02-01",10.26
"1979-03-01",12.27
"1979-04-01",16.75
"1979-05-01",20.425
"1979-06-01",26.285
"1979-07-01",28.965
"1979-08-01",25.355
"1979-09-01",25.86
"1979-10-01",21.8
"1979-11-01",11.58
"1979-12-01",11.495
"1980-01-01",10.4
"1980-02-01",12.93
"1980-03-01",12.53
"1980-04-01",16.465
"1980-05-01",19.4
"1980-06-01",27.49
"1980-07-01",29.2
"1980-08-01",26.72
"1980-09-01",25.05
"1980-10-01",19.12
"1980-11-01",13.175
"1980-12-01",12.305
"1981-01-01",11.445
"1981-02-01",13.019
"1981-03-01",12.183
"1981-04-01",18.246
"1981-05-01",20.633
"1981-06-01",27.833
"1981-07-01",27.789
"1981-08-01",27.204
"1981-09-01",24.84
"1981-10-01",18.823
"1981-11-01",15.326
"1981-12-01",11.694
"1982-01-01",9.709
"1982-02-01",11.412
"1982-03-01",13.182
"1982-04-01",17.112
"1982-05-01",20.334
"1982-06-01",24.985
"1982-07-01",27.528
"1982-08-01",26.814
"1982-09-01",24.844
"1982-10-01",18.103
"1982-11-01",13.057
"1982-12-01",9.018
"1983-01-01",9.713
"1983-02-01",10.304
"1983-03-01",11.315
"1983-04-01",12.923
"1983-05-01",20.463
"1983-06-01",24.474
"1983-07-01",27.689
"1983-08-01",25.692
"1983-09-01",25.126
"1983-10-01",18.742
"1983-11-01",12.331
"1983-12-01",10.491
"1984-01-01",9.274
"1984-02-01",10.727
"1984-03-01",14.336
"1984-04-01",16.084
"1984-05-01",23.691
"1984-06-01",25.675
"1984-07-01",25.802
"1984-08-01",24.923
"1984-09-01",24.487
"1984-10-01",16.878
"1984-11-01",12.944
"1984-12-01",9.074
"1985-01-01",8.186
"1985-02-01",9.477
"1985-03-01",12.989
"1985-04-01",18.054
"1985-05-01",21.843
"1985-06-01",27.599
"1985-07-01",28.103
"1985-08-01",26.927
"1985-09-01",22.977
"1985-10-01",18.916
"1985-11-01",12.68
"1985-12-01",10.648
"1986-01-01",12.872
"1986-02-01",11.966
"1986-03-01",15.492
"1986-04-01",18.359
"1986-05-01",22.536
"1986-06-01",27.006
"1986-07-01",26.368
"1986-08-01",27.027
"1986-09-01",23.62
"1986-10-01",18.737
"1986-11-01",13.826
"1986-12-01",9.465
"1987-01-01",8.553
"1987-02-01",10.328
"1987-03-01",11.77
"1987-04-01",18.268
"1987-05-01",20.34
"1987-06-01",26.833
"1987-07-01",27.999
"1987-08-01",25.992
"1987-09-01",23.903
"1987-10-01",21.625
"1987-11-01",12.889
"1987-12-01",8.263
"1988-01-01",9.194
"1988-02-01",12.288
"1988-03-01",13.893
"1988-04-01",16.335
"1988-05-01",21.487
"1988-06-01",27.095
"1988-07-01",27.908
"1988-08-01",26.2
"1988-09-01",24.562
"1988-10-01",21.302
"1988-11-01",13.449
"1988-12-01",9.239
"1989-01-01",7.886
"1989-02-01",12.553
"1989-03-01",16.521
"1989-04-01",20.896
"1989-05-01",22.638
"1989-06-01",26.914
"1989-07-01",29.516
"1989-08-01",26.684
"1989-09-01",25.79
"1989-10-01",19.468
"1989-11-01",14.61
"1989-12-01",10.124
"1990-01-01",8.932
"1990-02-01",8.949
"1990-03-01",14.171
"1990-04-01",17.797
"1990-05-01",20.901
"1990-06-01",28.454
"1990-07-01",26.652
"1990-08-01",24.345
"1990-09-01",24.277
"1990-10-01",19.741
"1990-11-01",14.22
"1990-12-01",8.916
"1991-01-01",8.788
"1991-02-01",13.144
"1991-03-01",10.669
"1991-04-01",15.955
"1991-05-01",20.275
"1991-06-01",24.292
"1991-07-01",27.612
"1991-08-01",26.695
"1991-09-01",24.171
"1991-10-01",21.257
"1991-11-01",13.138
"1991-12-01",9.513
"1992-01-01",8.301
"1992-02-01",11.35
"1992-03-01",12.679
"1992-04-01",18.27
"1992-05-01",21.724
"1992-06-01",26.049
"1992-07-01",27.557
"1992-08-01",26.547
"1992-09-01",25.702
"1992-10-01",21.183
"1992-11-01",11.539
"1992-12-01",8.977
"1993-01-01",10.503
"1993-02-01",10.026
"1993-03-01",13.864
"1993-04-01",17.63
"1993-05-01",22.48
"1993-06-01",26.672
"1993-07-01",27.436
"1993-08-01",26.757
"1993-09-01",24.37
"1993-10-01",19.968
"1993-11-01",12.691
"1993-12-01",10.399
"1994-01-01",10.772
"1994-02-01",10.179
"1994-03-01",14.294
"1994-04-01",17.849
"1994-05-01",21.038
"1994-06-01",28.772
"1994-07-01",29.319
"1994-08-01",28.492
"1994-09-01",25.541
"1994-10-01",18.748
"1994-11-01",11.908
"1994-12-01",10.337
"1995-01-01",9.554
"1995-02-01",13.637
"1995-03-01",13.865
"1995-04-01",15.47
"1995-05-01",19.856
"1995-06-01",25.319
"1995-07-01",29.104
"1995-08-01",28.332
"1995-09-01",26.299
"1995-10-01",21.485
"1995-11-01",16.143
"1995-12-01",11.463
"1996-01-01",11.19
"1996-02-01",13.93
"1996-03-01",14.298
"1996-04-01",18.709
"1996-05-01",24.337
"1996-06-01",28.406
"1996-07-01",28.881
"1996-08-01",27.511
"1996-09-01",23.357
"1996-10-01",19.793
"1996-11-01",15.012
"1996-12-01",10.726
"1997-01-01",9.661
"1997-02-01",10.887
"1997-03-01",16.539
"1997-04-01",16.495
"1997-05-01",23.707
"1997-06-01",26.318
"1997-07-01",28.876
"1997-08-01",27.55
"1997-09-01",26.369
"1997-10-01",19.066
"1997-11-01",14.859
"1997-12-01",7.679
"1998-01-01",10.379
"1998-02-01",8.555
"1998-03-01",12.54
"1998-04-01",14.101
"1998-05-01",20.978
"1998-06-01",25.713
"1998-07-01",28.262
"1998-08-01",27.711
"1998-09-01",26.218
"1998-10-01",20.51
"1998-11-01",14.643
"1998-12-01",9.948
"1999-01-01",11.77
"1999-02-01",13.071
"1999-03-01",14.935
"1999-04-01",15.408
"1999-05-01",21.375
"1999-06-01",26.021
"1999-07-01",26.639
"1999-08-01",26.684
"1999-09-01",25.253
"1999-10-01",21.989
"1999-11-01",17.322
"1999-12-01",10.109
"2000-01-01",12.488
"2000-02-01",13.343
"2000-03-01",13.562
"2000-04-01",19.62
"2000-05-01",24.575
"2000-06-01",26.99
"2000-07-01",28.382
"2000-08-01",26.68
"2000-09-01",26.522
"2000-10-01",18.373
"2000-11-01",9.823
"2000-12-01",11.832
"2001-01-01",8.288
"2001-02-01",9.905
"2001-03-01",13.395
"2001-04-01",16.572
"2001-05-01",23.216
"2001-06-01",27.125
"2001-07-01",27.232
"2001-08-01",27.106
"2001-09-01",26.609
"2001-10-01",20.713
"2001-11-01",15.573
"2001-12-01",8.477
"2002-01-01",10.117
"2002-02-01",11.945
"2002-03-01",13.495
"2002-04-01",19.351
"2002-05-01",22.241
"2002-06-01",28.881
"2002-07-01",28.418
"2002-08-01",27.46
"2002-09-01",25.854
"2002-10-01",18.823
"2002-11-01",15.087
"2002-12-01",9.237
"2003-01-01",13.333
"2003-02-01",11.233
"2003-03-01",13.231
"2003-04-01",16.631
"2003-05-01",22.838
"2003-06-01",27.172
"2003-07-01",29.769
"2003-08-01",27.432
"2003-09-01",25.988
"2003-10-01",22.5
"2003-11-01",13.647
"2003-12-01",10.961
"2004-01-01",10.092
"2004-02-01",9.043
"2004-03-01",17.216
"2004-04-01",16.79
"2004-05-01",22.835
"2004-06-01",26.726
"2004-07-01",27.497
"2004-08-01",26.71
"2004-09-01",24.995
"2004-10-01",19.03
"2004-11-01",11.559
"2004-12-01",10.085
"2005-01-01",11.12
"2005-02-01",10.94
"2005-03-01",13.121
"2005-04-01",17.4
"2005-05-01",22.577
"2005-06-01",26.78
"2005-07-01",29.675
"2005-08-01",26.06
"2005-09-01",26.257
"2005-10-01",20.24
"2005-11-01",15.332
"2005-12-01",11.211
"2006-01-01",11.61
"2006-02-01",12.501
"2006-03-01",12.878
"2006-04-01",17.864
"2006-05-01",23.714
"2006-06-01",28.605
"2006-07-01",28.691
"2006-08-01",25.94
"2006-09-01",23.065
"2006-10-01",19.119
"2006-11-01",15.672
"2006-12-01",8.969
"2007-01-01",7.632
"2007-02-01",11.251
"2007-03-01",15.311
"2007-04-01",17.594
"2007-05-01",22.886
"2007-06-01",27.444
"2007-07-01",28.437
"2007-08-01",27.185
"2007-09-01",25.373
"2007-10-01",20.421
"2007-11-01",17.21
"2007-12-01",8.538
"2008-01-01",9.437
"2008-02-01",10.86
"2008-03-01",14.203
"2008-04-01",17.459
"2008-05-01",20.364
"2008-06-01",27.677
"2008-07-01",26.888
"2008-08-01",26.684
"2008-09-01",24.693
"2008-10-01",20.363
"2008-11-01",15.591
"2008-12-01",10.619
"2009-01-01",11.672
"2009-02-01",12.365
"2009-03-01",15.3
"2009-04-01",16.736
"2009-05-01",23.975
"2009-06-01",25.254
"2009-07-01",28.813
"2009-08-01",28.402
"2009-09-01",26.036
"2009-10-01",19.101
"2009-11-01",16.196
"2009-12-01",9.032
"2010-01-01",10.551
"2010-02-01",10.227
"2010-03-01",12.679
"2010-04-01",16.327
"2010-05-01",20.16
"2010-06-01",27.097
"2010-07-01",28.898
"2010-08-01",27.456
"2010-09-01",26.094
"2010-10-01",20.416
"2010-11-01",13.033
"2010-12-01",12.689
"2011-01-01",9.502
"2011-02-01",9.359
"2011-03-01",15.772
"2011-04-01",18.859
"2011-05-01",20.753
"2011-06-01",27.42
"2011-07-01",28.336
"2011-08-01",28.649
"2011-09-01",25.777
"2011-10-01",20.732
"2011-11-01",13.45
"2011-12-01",8.084
"2012-01-01",11.529
"2012-02-01",11.307
"2012-03-01",13.602
"2012-04-01",18.659
"2012-05-01",23.095
"2012-06-01",28.052
"2012-07-01",27.41
"2012-08-01",27.82
"2012-09-01",24.788
"2012-10-01",20.697
"2012-11-01",16.416
"2012-12-01",10.391
"2013-01-01",8.106
"2013-02-01",8.745
"2013-03-01",16.182
"2013-04-01",18.009
"2013-05-01",22.822
"2013-06-01",28.653
"2013-07-01",27.912
"2013-08-01",27.401
"2013-09-01",25.05
"2013-10-01",18.717
"2013-11-01",14.93
"2013-12-01",10.211
"2014-01-01",12.152
"2014-02-01",13.851
"2014-03-01",15.492
"2014-04-01",17.889
"2014-05-01",22.207
"2014-06-01",28.487
"2014-07-01",28.176
"2014-08-01",26.054
"2014-09-01",25.005
"2014-10-01",21.126
"2014-11-01",14.624
"2014-12-01",10.797
"2015-01-01",10.825
"2015-02-01",14.362
"2015-03-01",16.407
"2015-04-01",17.365
"2015-05-01",19.748
"2015-06-01",28.238
"2015-07-01",27.34
"2015-08-01",28.129
"2015-09-01",25.088
"2015-10-01",20.838
"2015-11-01",13.118
"2015-12-01",9.224
"2016-01-01",9.47
"2016-02-01",13.933
"2016-03-01",16.095
"2016-04-01",16.894
"2016-05-01",20.805
"2016-06-01",28.221
"2016-07-01",29.064
"2016-08-01",26.028
"2016-09-01",23.869
"2016-10-01",22.287
"2016-11-01",15.82
"2016-12-01",11.411
"2017-01-01",9.724
"2017-02-01",13.1
"2017-03-01",17.366
"2017-04-01",18.494
"2017-05-01",21.493
"2017-06-01",28.774
"2017-07-01",27.769
"2017-08-01",26.904
"2017-09-01",25.217
"2017-10-01",22.758
"2017-11-01",18.511
"2017-12-01",12.319
"2018-01-01",12.783
"2018-02-01",12.396
"2018-03-01",14.663
"2018-04-01",20.026
"2018-05-01",23.013
"2018-06-01",27.568
"2018-07-01",28.529
"2018-08-01",27.573
"2018-09-01",26.389
"2018-10-01",18.691
"2018-11-01",13.458
"2018-12-01",10.077
"2019-01-01",9.76
"2019-02-01",8.894
"2019-03-01",14.427
"2019-04-01",17.6854
"2019-05-01",18.361
"2019-06-01",26.3789
"2019-07-01",29.2669
"2019-08-01",28.4134
"2019-09-01",25.1525
"2019-10-01",19.4064
"2019-11-01",15.5759
"2019-12-01",9.9515
"2020-01-01",10.425
"2020-02-01",10.6775
"2020-03-01",13.519
"2020-04-01",17.684
"2020-05-01",24.058
"2020-06-01",27.321
"2020-07-01",29.808
"2020-08-01",30.3059
"2020-09-01",26.4079
"2020-10-01",21.9834
"2020-11-01",16.41
"2020-12-01",10.0799
"2021-01-01",9.8029
"2021-02-01",11.9005
"2021-03-01",13.1077
"2021-04-01",19.174
"2021-05-01",22.5476
"2021-06-01",29.1742
"2021-07-01",26.9225
"2021-08-01",26.5057
"2021-09-01",25.0708
"2021-10-01",19.3404
"2021-11-01",17.1044
"2021-12-01",12.118
"2022-01-01",10.4642
"2022-02-01",10.2023
"2022-03-01",14.2418
"2022-04-01",19.2732
"2022-05-01",23.0395