,"(mm) Precipitation (PRISM MONTHLY) at -110.8661E,31.8214N, Jan 1950 to May 2022"
"1950-01-01",10.94
"1950-02-01",33.4
"1950-03-01",7.96
"1950-04-01",0
"1950-05-01",0.76
"1950-06-01",22.01
"1950-07-01",153.83
"1950-08-01",24.67
"1950-09-01",5.84
"1950-10-01",0
"1950-11-01",0
"1950-12-01",0
"1951-01-01",40.82
"1951-02-01",6.92
"1951-03-01",6.68
"1951-04-01",39.18
"1951-05-01",13.32
"1951-06-01",0
"1951-07-01",65.86
"1951-08-01",106.13
"1951-09-01",19.8
"1951-10-01",54.49
"1951-11-01",24.57
"1951-12-01",38.84
"1952-01-01",28.66
"1952-02-01",3.4
"1952-03-01",65.24
"1952-04-01",40.77
"1952-05-01",0
"1952-06-01",16.69
"1952-07-01",51.82
"1952-08-01",95.91
"1952-09-01",21.06
"1952-10-01",0
"1952-11-01",48.11
"1952-12-01",19.94
"1953-01-01",0.1
"1953-02-01",21.62
"1953-03-01",35.99
"1953-04-01",4.23
"1953-05-01",2.01
"1953-06-01",3.02
"1953-07-01",97.98
"1953-08-01",26.49
"1953-09-01",0
"1953-10-01",2.54
"1953-11-01",2.89
"1953-12-01",2.85
"1954-01-01",28.21
"1954-02-01",11.33
"1954-03-01",52.02
"1954-04-01",0
"1954-05-01",19.99
"1954-06-01",20.68
"1954-07-01",118.35
"1954-08-01",95.33
"1954-09-01",42.59
"1954-10-01",8.79
"1954-11-01",0
"1954-12-01",2.89
"1955-01-01",57.65
"1955-02-01",8.62
"1955-03-01",0
"1955-04-01",0
"1955-05-01",0
"1955-06-01",0
"1955-07-01",102.04
"1955-08-01",173.29
"1955-09-01",4.84
"1955-10-01",19.97
"1955-11-01",0
"1955-12-01",7.55
"1956-01-01",26.78
"1956-02-01",17.02
"1956-03-01",0
"1956-04-01",6.84
"1956-05-01",0
"1956-06-01",9.41
"1956-07-01",77.21
"1956-08-01",32.24
"1956-09-01",4.04
"1956-10-01",7.94
"1956-11-01",0.52
"1956-12-01",5.02
"1957-01-01",45.56
"1957-02-01",8.07
"1957-03-01",25.14
"1957-04-01",7.61
"1957-05-01",9.34
"1957-06-01",11.27
"1957-07-01",68.5
"1957-08-01",87.82
"1957-09-01",0.64
"1957-10-01",40.18
"1957-11-01",20.82
"1957-12-01",12.3
"1958-01-01",0
"1958-02-01",35.49
"1958-03-01",75.79
"1958-04-01",18.07
"1958-05-01",0.52
"1958-06-01",16.52
"1958-07-01",111.42
"1958-08-01",106.94
"1958-09-01",41.58
"1958-10-01",14.96
"1958-11-01",23.21
"1958-12-01",0
"1959-01-01",0
"1959-02-01",21.53
"1959-03-01",0
"1959-04-01",3.41
"1959-05-01",0
"1959-06-01",4.74
"1959-07-01",109.6
"1959-08-01",103.08
"1959-09-01",4.87
"1959-10-01",23
"1959-11-01",30.21
"1959-12-01",49.97
"1960-01-01",69.86
"1960-02-01",12.32
"1960-03-01",8.5
"1960-04-01",0
"1960-05-01",0
"1960-06-01",0.48
"1960-07-01",61.38
"1960-08-01",74.13
"1960-09-01",31.84
"1960-10-01",34.45
"1960-11-01",0.04
"1960-12-01",23.78
"1961-01-01",31.6
"1961-02-01",3.21
"1961-03-01",6.1
"1961-04-01",0
"1961-05-01",0
"1961-06-01",5.53
"1961-07-01",84.59
"1961-08-01",124
"1961-09-01",35.15
"1961-10-01",36.89
"1961-11-01",16.93
"1961-12-01",55.94
"1962-01-01",47.22
"1962-02-01",10.59
"1962-03-01",21.19
"1962-04-01",0
"1962-05-01",0
"1962-06-01",5.46
"1962-07-01",66.85
"1962-08-01",22.56
"1962-09-01",58.78
"1962-10-01",3.26
"1962-11-01",5.76
"1962-12-01",46.31
"1963-01-01",22.13
"1963-02-01",23.62
"1963-03-01",13.33
"1963-04-01",10.57
"1963-05-01",0
"1963-06-01",0
"1963-07-01",60.49
"1963-08-01",107.43
"1963-09-01",29.07
"1963-10-01",19.92
"1963-11-01",47.44
"1963-12-01",10
"1964-01-01",4.31
"1964-02-01",2.89
"1964-03-01",22.59
"1964-04-01",11.13
"1964-05-01",0
"1964-06-01",6.38
"1964-07-01",106.4
"1964-08-01",116.25
"1964-09-01",107.46
"1964-10-01",35
"1964-11-01",24.82
"1964-12-01",12.7
"1965-01-01",16.6
"1965-02-01",25.52
"1965-03-01",10.07
"1965-04-01",13
"1965-05-01",0
"1965-06-01",3.28
"1965-07-01",72.9
"1965-08-01",61.47
"1965-09-01",28.33
"1965-10-01",0
"1965-11-01",15.73
"1965-12-01",189.55
"1966-01-01",40.53
"1966-02-01",63.91
"1966-03-01",2.41
"1966-04-01",0.96
"1966-05-01",0.79
"1966-06-01",8.44
"1966-07-01",106.52
"1966-08-01",121.14
"1966-09-01",60.55
"1966-10-01",10.18
"1966-11-01",17.53
"1966-12-01",9.62
"1967-01-01",2.35
"1967-02-01",4.85
"1967-03-01",8.41
"1967-04-01",12.27
"1967-05-01",9.94
"1967-06-01",20.94
"1967-07-01",116.37
"1967-08-01",65.3
"1967-09-01",33.63
"1967-10-01",18.63
"1967-11-01",15.75
"1967-12-01",147.17
"1968-01-01",15.94
"1968-02-01",34.42
"1968-03-01",38.76
"1968-04-01",10
"1968-05-01",0
"1968-06-01",0
"1968-07-01",85.95
"1968-08-01",85.05
"1968-09-01",6.07
"1968-10-01",4.66
"1968-11-01",20.8
"1968-12-01",29.12
"1969-01-01",15.53
"1969-02-01",21.63
"1969-03-01",13.03
"1969-04-01",0.39
"1969-05-01",9.91
"1969-06-01",0
"1969-07-01",94.14
"1969-08-01",99.57
"1969-09-01",33.02
"1969-10-01",1.83
"1969-11-01",28.53
"1969-12-01",19.06
"1970-01-01",0
"1970-02-01",10.73
"1970-03-01",42.63
"1970-04-01",4.54
"1970-05-01",0
"1970-06-01",6.41
"1970-07-01",63.42
"1970-08-01",92.1
"1970-09-01",59.91
"1970-10-01",5.31
"1970-11-01",0
"1970-12-01",10.41
"1971-01-01",0.29
"1971-02-01",21.23
"1971-03-01",0
"1971-04-01",11.05
"1971-05-01",0
"1971-06-01",1.03
"1971-07-01",67.11
"1971-08-01",157.4
"1971-09-01",41.8
"1971-10-01",56.13
"1971-11-01",20.12
"1971-12-01",59.26
"1972-01-01",0.67
"1972-02-01",0
"1972-03-01",0.08
"1972-04-01",0
"1972-05-01",4.96
"1972-06-01",29.61
"1972-07-01",77.54
"1972-08-01",56.15
"1972-09-01",35.54
"1972-10-01",110.51
"1972-11-01",36.71
"1972-12-01",18.55
"1973-01-01",10
"1973-02-01",60.98
"1973-03-01",79.09
"1973-04-01",0
"1973-05-01",0
"1973-06-01",16.49
"1973-07-01",78.23
"1973-08-01",33.16
"1973-09-01",1.04
"1973-10-01",0
"1973-11-01",17.01
"1973-12-01",0
"1974-01-01",37.54
"1974-02-01",0
"1974-03-01",12.43
"1974-04-01",0
"1974-05-01",0
"1974-06-01",1.83
"1974-07-01",134.37
"1974-08-01",53.95
"1974-09-01",55.62
"1974-10-01",57.32
"1974-11-01",10.64
"1974-12-01",8.11
"1975-01-01",16.15
"1975-02-01",1.8
"1975-03-01",33.02
"1975-04-01",18.11
"1975-05-01",0
"1975-06-01",0
"1975-07-01",97.38
"1975-08-01",33.18
"1975-09-01",63.96
"1975-10-01",0
"1975-11-01",20.44
"1975-12-01",17.84
"1976-01-01",6.67
"1976-02-01",33.21
"1976-03-01",10.68
"1976-04-01",27.43
"1976-05-01",5.85
"1976-06-01",2.68
"1976-07-01",134.22
"1976-08-01",41.21
"1976-09-01",31.77
"1976-10-01",15.2
"1976-11-01",14.22
"1976-12-01",6.97
"1977-01-01",56.64
"1977-02-01",1.12
"1977-03-01",15.34
"1977-04-01",7.21
"1977-05-01",0.86
"1977-06-01",3.62
"1977-07-01",59.08
"1977-08-01",74.79
"1977-09-01",40.29
"1977-10-01",87.44
"1977-11-01",7.63
"1977-12-01",29.81
"1978-01-01",61.91
"1978-02-01",61.71
"1978-03-01",50.92
"1978-04-01",4.04
"1978-05-01",10.6
"1978-06-01",11.88
"1978-07-01",97.71
"1978-08-01",61.24
"1978-09-01",12.83
"1978-10-01",82.4
"1978-11-01",75.45
"1978-12-01",94.35
"1979-01-01",96.23
"1979-02-01",19.56
"1979-03-01",38.16
"1979-04-01",0
"1979-05-01",16.52
"1979-06-01",14.01
"1979-07-01",49.7
"1979-08-01",46.4
"1979-09-01",0.71
"1979-10-01",9.71
"1979-11-01",6.08
"1979-12-01",6.89
"1980-01-01",17.43
"1980-02-01",66.57
"1980-03-01",27.83
"1980-04-01",1.96
"1980-05-01",1.69
"1980-06-01",3.14
"1980-07-01",81.94
"1980-08-01",84.32
"1980-09-01",36.75
"1980-10-01",4.62
"1980-11-01",0
"1980-12-01",7.88
"1981-01-01",37.428
"1981-02-01",20.938
"1981-03-01",62.329
"1981-04-01",8.348
"1981-05-01",17.6
"1981-06-01",1.058
"1981-07-01",124.328
"1981-08-01",43.892
"1981-09-01",42.01
"1981-10-01",9.265
"1981-11-01",19.166
"1981-12-01",0
"1982-01-01",34.542
"1982-02-01",10.81
"1982-03-01",24.097
"1982-04-01",1.075
"1982-05-01",9.767
"1982-06-01",2.763
"1982-07-01",73.504
"1982-08-01",99.913
"1982-09-01",38.959
"1982-10-01",0
"1982-11-01",18.844
"1982-12-01",85.06
"1983-01-01",49.271
"1983-02-01",36.342
"1983-03-01",73.971
"1983-04-01",7.858
"1983-05-01",2.087
"1983-06-01",0
"1983-07-01",67.5
"1983-08-01",112.036
"1983-09-01",144.511
"1983-10-01",126.107
"1983-11-01",26.174
"1983-12-01",21.021
"1984-01-01",39.574
"1984-02-01",0
"1984-03-01",0
"1984-04-01",13.113
"1984-05-01",5.444
"1984-06-01",39.424
"1984-07-01",128.965
"1984-08-01",136.895
"1984-09-01",42.543
"1984-10-01",34.269
"1984-11-01",18.982
"1984-12-01",129.612
"1985-01-01",51.516
"1985-02-01",36.2
"1985-03-01",5.668
"1985-04-01",26.45
"1985-05-01",0
"1985-06-01",0.184
"1985-07-01",87.433
"1985-08-01",66.449
"1985-09-01",56.758
"1985-10-01",38.035
"1985-11-01",41.662
"1985-12-01",10.222
"1986-01-01",6.485
"1986-02-01",46.492
"1986-03-01",40.926
"1986-04-01",0
"1986-05-01",8.88
"1986-06-01",4.681
"1986-07-01",89.847
"1986-08-01",112.147
"1986-09-01",10.982
"1986-10-01",8.094
"1986-11-01",14.84
"1986-12-01",46.184
"1987-01-01",14.973
"1987-02-01",47.794
"1987-03-01",12.532
"1987-04-01",30.914
"1987-05-01",19.651
"1987-06-01",1.721
"1987-07-01",32.53
"1987-08-01",109.882
"1987-09-01",45.036
"1987-10-01",12.782
"1987-11-01",13.838
"1987-12-01",55.195
"1988-01-01",35.073
"1988-02-01",9.455
"1988-03-01",8.642
"1988-04-01",45.025
"1988-05-01",0
"1988-06-01",2.488
"1988-07-01",116.855
"1988-08-01",101.793
"1988-09-01",11.773
"1988-10-01",55.631
"1988-11-01",15.475
"1988-12-01",5.306
"1989-01-01",23.451
"1989-02-01",3.262
"1989-03-01",21.587
"1989-04-01",0
"1989-05-01",5.423
"1989-06-01",3.17
"1989-07-01",50.127
"1989-08-01",68.071
"1989-09-01",21.111
"1989-10-01",48.869
"1989-11-01",5.38
"1989-12-01",12.241
"1990-01-01",21.158
"1990-02-01",25.513
"1990-03-01",13.179
"1990-04-01",5.51
"1990-05-01",3.734
"1990-06-01",4.189
"1990-07-01",237.383
"1990-08-01",100.72
"1990-09-01",41.654
"1990-10-01",13.696
"1990-11-01",13.023
"1990-12-01",52.371
"1991-01-01",41.491
"1991-02-01",43.966
"1991-03-01",58.508
"1991-04-01",0
"1991-05-01",0
"1991-06-01",9.998
"1991-07-01",37.04
"1991-08-01",87.452
"1991-09-01",37.669
"1991-10-01",11.899
"1991-11-01",22.49
"1991-12-01",72.529
"1992-01-01",40.11
"1992-02-01",31.663
"1992-03-01",85.829
"1992-04-01",15.814
"1992-05-01",32.238
"1992-06-01",1.21
"1992-07-01",67.457
"1992-08-01",118.072
"1992-09-01",17.177
"1992-10-01",4.38
"1992-11-01",0.822
"1992-12-01",94.118
"1993-01-01",149.928
"1993-02-01",48.621
"1993-03-01",26.321
"1993-04-01",0
"1993-05-01",16.986
"1993-06-01",0
"1993-07-01",46.047
"1993-08-01",189.317
"1993-09-01",24.163
"1993-10-01",24.433
"1993-11-01",33.018
"1993-12-01",5.177
"1994-01-01",7.608
"1994-02-01",30.467
"1994-03-01",38.654
"1994-04-01",12.201
"1994-05-01",7.669
"1994-06-01",14.924
"1994-07-01",31.211
"1994-08-01",69.806
"1994-09-01",36.714
"1994-10-01",14.272
"1994-11-01",61.385
"1994-12-01",113.615
"1995-01-01",35.212
"1995-02-01",43.94
"1995-03-01",14.177
"1995-04-01",14.91
"1995-05-01",2.173
"1995-06-01",0
"1995-07-01",25.547
"1995-08-01",90.304
"1995-09-01",23.598
"1995-10-01",20.616
"1995-11-01",21.354
"1995-12-01",9.513
"1996-01-01",0.506
"1996-02-01",22.762
"1996-03-01",5.242
"1996-04-01",0
"1996-05-01",0
"1996-06-01",0.56
"1996-07-01",77.103
"1996-08-01",66.046
"1996-09-01",37.396
"1996-10-01",31.073
"1996-11-01",10.908
"1996-12-01",0
"1997-01-01",29.207
"1997-02-01",22.053
"1997-03-01",8.095
"1997-04-01",9.177
"1997-05-01",10.713
"1997-06-01",0.254
"1997-07-01",16.919
"1997-08-01",109.85
"1997-09-01",30.963
"1997-10-01",10.53
"1997-11-01",15.033
"1997-12-01",96.848
"1998-01-01",2.55
"1998-02-01",90.283
"1998-03-01",47.331
"1998-04-01",5.658
"1998-05-01",0
"1998-06-01",0
"1998-07-01",108.083
"1998-08-01",73.13
"1998-09-01",22.973
"1998-10-01",13.931
"1998-11-01",14.859
"1998-12-01",12.361
"1999-01-01",0.028
"1999-02-01",0
"1999-03-01",3.327
"1999-04-01",35.629
"1999-05-01",0
"1999-06-01",13.854
"1999-07-01",102.851
"1999-08-01",87.645
"1999-09-01",36.209
"1999-10-01",0
"1999-11-01",0
"1999-12-01",0
"2000-01-01",0.669
"2000-02-01",7.608
"2000-03-01",33.166
"2000-04-01",0
"2000-05-01",0
"2000-06-01",52.276
"2000-07-01",41.298
"2000-08-01",112.965
"2000-09-01",10.66
"2000-10-01",183.944
"2000-11-01",29.87
"2000-12-01",1.76
"2001-01-01",43.86
"2001-02-01",15.279
"2001-03-01",18.503
"2001-04-01",40.801
"2001-05-01",5.629
"2001-06-01",22.874
"2001-07-01",77.835
"2001-08-01",70.176
"2001-09-01",24.205
"2001-10-01",20.853
"2001-11-01",6.41
"2001-12-01",35.539
"2002-01-01",8.956
"2002-02-01",6.608
"2002-03-01",1.493
"2002-04-01",0
"2002-05-01",0
"2002-06-01",0
"2002-07-01",67.337
"2002-08-01",68.319
"2002-09-01",53.089
"2002-10-01",5.388
"2002-11-01",10.606
"2002-12-01",21.898
"2003-01-01",1.839
"2003-02-01",49.55
"2003-03-01",14.177
"2003-04-01",1.698
"2003-05-01",3.533
"2003-06-01",0
"2003-07-01",89.453
"2003-08-01",54.926
"2003-09-01",41.899
"2003-10-01",29.119
"2003-11-01",24.759
"2003-12-01",12.289
"2004-01-01",21.968
"2004-02-01",16.543
"2004-03-01",24.385
"2004-04-01",31.293
"2004-05-01",0
"2004-06-01",1.704
"2004-07-01",64.649
"2004-08-01",55.169
"2004-09-01",13.185
"2004-10-01",6.225
"2004-11-01",10.673
"2004-12-01",30.134
"2005-01-01",43.308
"2005-02-01",27.913
"2005-03-01",7.784
"2005-04-01",5.672
"2005-05-01",12.373
"2005-06-01",2.727
"2005-07-01",42.874
"2005-08-01",89.097
"2005-09-01",9.301
"2005-10-01",9.482
"2005-11-01",0
"2005-12-01",1.328
"2006-01-01",0
"2006-02-01",2.028
"2006-03-01",27.248
"2006-04-01",0
"2006-05-01",0
"2006-06-01",16.225
"2006-07-01",143.815
"2006-08-01",89.07
"2006-09-01",71.807
"2006-10-01",8.973
"2006-11-01",0
"2006-12-01",17.936
"2007-01-01",28.444
"2007-02-01",1.397
"2007-03-01",17.742
"2007-04-01",5.625
"2007-05-01",0
"2007-06-01",0.936
"2007-07-01",64.872
"2007-08-01",80.408
"2007-09-01",47.57
"2007-10-01",5.692
"2007-11-01",11.971
"2007-12-01",36.624
"2008-01-01",6.102
"2008-02-01",23.653
"2008-03-01",2.592
"2008-04-01",0
"2008-05-01",9.6
"2008-06-01",13.998
"2008-07-01",114.873
"2008-08-01",88.311
"2008-09-01",30.043
"2008-10-01",5.065
"2008-11-01",12.276
"2008-12-01",21.178
"2009-01-01",15.222
"2009-02-01",14.297
"2009-03-01",4.144
"2009-04-01",3.67
"2009-05-01",18.295
"2009-06-01",1.709
"2009-07-01",83.753
"2009-08-01",45.134
"2009-09-01",18.481
"2009-10-01",2.618
"2009-11-01",6.071
"2009-12-01",17.819
"2010-01-01",67.452
"2010-02-01",39.073
"2010-03-01",24.237
"2010-04-01",18.698
"2010-05-01",0
"2010-06-01",0.006
"2010-07-01",127.397
"2010-08-01",54.03
"2010-09-01",11.973
"2010-10-01",21.03
"2010-11-01",0
"2010-12-01",24.418
"2011-01-01",0
"2011-02-01",5.678
"2011-03-01",4.746
"2011-04-01",5.562
"2011-05-01",0
"2011-06-01",0
"2011-07-01",62.067
"2011-08-01",67.513
"2011-09-01",67.617
"2011-10-01",1.861
"2011-11-01",23.625
"2011-12-01",60.811
"2012-01-01",3.307
"2012-02-01",8.699
"2012-03-01",14.89
"2012-04-01",7.785
"2012-05-01",3.2296
"2012-06-01",13.528
"2012-07-01",99.331
"2012-08-01",40.002
"2012-09-01",36.553
"2012-10-01",0
"2012-11-01",6.262
"2012-12-01",33.784
"2013-01-01",16.828
"2013-02-01",25.054
"2013-03-01",2.627
"2013-04-01",0.008
"2013-05-01",0
"2013-06-01",0.371
"2013-07-01",88.96
"2013-08-01",80.644
"2013-09-01",36.448
"2013-10-01",0
"2013-11-01",49.668
"2013-12-01",21.203
"2014-01-01",0
"2014-02-01",2.284
"2014-03-01",33.454
"2014-04-01",1.327
"2014-05-01",0
"2014-06-01",0
"2014-07-01",93.152
"2014-08-01",68.134
"2014-09-01",70.565
"2014-10-01",25.703
"2014-11-01",0
"2014-12-01",34.971
"2015-01-01",57.882
"2015-02-01",11.41
"2015-03-01",15.201
"2015-04-01",15.7
"2015-05-01",5.792
"2015-06-01",29.034
"2015-07-01",55.486
"2015-08-01",73.564
"2015-09-01",91.534
"2015-10-01",46.744
"2015-11-01",8.289
"2015-12-01",24.06
"2016-01-01",37.375
"2016-02-01",4.607
"2016-03-01",3.17
"2016-04-01",13.02
"2016-05-01",0
"2016-06-01",33.577
"2016-07-01",74.991
"2016-08-01",103.948
"2016-09-01",60.625
"2016-10-01",3.9
"2016-11-01",3.988
"2016-12-01",44.151
"2017-01-01",33.867
"2017-02-01",4.371
"2017-03-01",3.293
"2017-04-01",2.841
"2017-05-01",1.688
"2017-06-01",6.341
"2017-07-01",113.037
"2017-08-01",42.24
"2017-09-01",5.326
"2017-10-01",0.394
"2017-11-01",3.742
"2017-12-01",14.232
"2018-01-01",2.227
"2018-02-01",70.901
"2018-03-01",1.518
"2018-04-01",0
"2018-05-01",0
"2018-06-01",27.386
"2018-07-01",61.599
"2018-08-01",68.823
"2018-09-01",81.789
"2018-10-01",78.751
"2018-11-01",3.217
"2018-12-01",32.449
"2019-01-01",36.953
"2019-02-01",65.836
"2019-03-01",20.658
"2019-04-01",0.909
"2019-05-01",8.94
"2019-06-01",0.328
"2019-07-01",28.18
"2019-08-01",60.172
"2019-09-01",84.256
"2019-10-01",0
"2019-11-01",74.403
"2019-12-01",37.512
"2020-01-01",19.209
"2020-02-01",25.073
"2020-03-01",28.566
"2020-04-01",3.531
"2020-05-01",3.634
"2020-06-01",1.984
"2020-07-01",32.555
"2020-08-01",29.994
"2020-09-01",3.118
"2020-10-01",0.5
"2020-11-01",5.128
"2020-12-01",11.111
"2021-01-01",34.8272
"2021-02-01",0
"2021-03-01",5.0558
"2021-04-01",2.2104
"2021-05-01",0
"2021-06-01",2.8688
"2021-07-01",232.6019
"2021-08-01",119.876
"2021-09-01",45.0062
"2021-10-01",2.863
"2021-11-01",0.0003
"2021-12-01",22.752
"2022-01-01",15.144
"2022-02-01",10.1915
"2022-03-01",14.6891
"2022-04-01",0
"2022-05-01",0